country_code,year,metric_code,mean,low,high,sd
ALB,2018,ddi,0.339,0.227,0.474,0.634
ALB,2018,edi,0.52,0.471,0.587,0.059
ALB,2018,egdi,0.677,0.599,0.762,0.084
ALB,2018,ldi,0.779,0.719,0.838,0.06
ALB,2018,pdi,0.546,0.489,0.598,0.053
ALB,2019,ddi,0.33,0.223,0.46,0.629
ALB,2019,edi,0.494,0.424,0.544,0.06
ALB,2019,egdi,0.654,0.569,0.743,0.087
ALB,2019,ldi,0.789,0.738,0.857,0.061
ALB,2019,pdi,0.558,0.508,0.615,0.054
ALB,2020,ddi,0.325,0.223,0.459,0.63
ALB,2020,edi,0.501,0.434,0.551,0.059
ALB,2020,egdi,0.7,0.614,0.785,0.087
ALB,2020,ldi,0.769,0.704,0.825,0.062
ALB,2020,pdi,0.566,0.52,0.629,0.055
ARE,1990,ddi,0.505,0.38,0.656,0.641
ARE,1990,edi,0.022,0.012,0.029,0.008
ARE,1990,egdi,0.338,0.238,0.424,0.093
ARE,1990,ldi,0.215,0.162,0.265,0.054
ARE,1990,pdi,0.061,0.011,0.088,0.047
ARE,1991,ddi,0.505,0.38,0.656,0.641
ARE,1991,edi,0.023,0.014,0.029,0.009
ARE,1991,egdi,0.338,0.238,0.424,0.093
ARE,1991,ldi,0.215,0.162,0.265,0.054
ARE,1991,pdi,0.061,0.011,0.088,0.047
ARE,1992,ddi,0.505,0.38,0.656,0.641
ARE,1992,edi,0.024,0.016,0.033,0.009
ARE,1992,egdi,0.354,0.27,0.459,0.093
ARE,1992,ldi,0.215,0.162,0.265,0.054
ARE,1992,pdi,0.061,0.011,0.088,0.047
ARE,1993,ddi,0.505,0.38,0.656,0.641
ARE,1993,edi,0.022,0.013,0.029,0.009
ARE,1993,egdi,0.376,0.279,0.469,0.093
ARE,1993,ldi,0.215,0.162,0.265,0.054
ARE,1993,pdi,0.061,0.011,0.088,0.047
ARE,1994,ddi,0.505,0.38,0.656,0.641
ARE,1994,edi,0.024,0.014,0.031,0.009
ARE,1994,egdi,0.374,0.287,0.479,0.094
ARE,1994,ldi,0.265,0.21,0.32,0.057
ARE,1994,pdi,0.061,0.011,0.088,0.047
ARE,1995,ddi,0.505,0.38,0.656,0.641
ARE,1995,edi,0.027,0.016,0.034,0.009
ARE,1995,egdi,0.391,0.283,0.477,0.096
ARE,1995,ldi,0.269,0.217,0.328,0.058
ARE,1995,pdi,0.061,0.011,0.088,0.047
ARE,1996,ddi,0.505,0.38,0.656,0.641
ARE,1996,edi,0.027,0.016,0.034,0.009
ARE,1996,egdi,0.396,0.298,0.497,0.097
ARE,1996,ldi,0.281,0.229,0.347,0.061
ARE,1996,pdi,0.061,0.011,0.088,0.047
ARE,1997,ddi,0.505,0.38,0.656,0.641
ARE,1997,edi,0.027,0.016,0.034,0.009
ARE,1997,egdi,0.396,0.298,0.497,0.097
ARE,1997,ldi,0.281,0.229,0.347,0.061
ARE,1997,pdi,0.061,0.011,0.088,0.047
ARE,1998,ddi,0.505,0.38,0.656,0.641
ARE,1998,edi,0.028,0.018,0.037,0.01
ARE,1998,egdi,0.396,0.298,0.497,0.097
ARE,1998,ldi,0.281,0.229,0.347,0.061
ARE,1998,pdi,0.061,0.011,0.088,0.047
ARE,1999,ddi,0.505,0.38,0.656,0.641
ARE,1999,edi,0.028,0.018,0.037,0.01
ARE,1999,egdi,0.396,0.298,0.497,0.097
ARE,1999,ldi,0.281,0.229,0.347,0.061
ARE,1999,pdi,0.061,0.011,0.088,0.047
ARE,2000,ddi,0.505,0.38,0.656,0.641
ARE,2000,edi,0.028,0.018,0.037,0.01
